Manufacturer,Channel,Date,SOM,SOM_hat,SOM mae,Sales,Sales_pred,Sales MAPE,Units,units_pred,units MAPE,forecast_month
BIMBO,OT,2022-05-01,5.0,4.78,0.22,1692.13,1550.34,8.38,201.82,198.76,1.52,April 2022
BIMBO,OT,2022-06-01,5.82,5.02,0.8,2011.86,1684.47,16.27,234.78,224.9,4.21,April 2022
BIMBO,OT,2022-07-01,6.5,4.46,2.04,2505.72,1602.35,36.05,274.23,244.26,10.93,April 2022
BIMBO,OT,2022-08-01,5.77,4.76,1.01,2143.0,1710.83,20.17,226.64,223.05,1.58,April 2022
BIMBO,OT,2022-09-01,5.51,4.72,0.79,1998.98,1653.36,17.29,209.49,219.86,4.95,April 2022
BIMBO,OT,2022-10-01,5.63,5.29,0.34,2126.02,1810.46,14.84,213.24,207.15,2.86,April 2022
BIMBO,OT,2022-11-01,5.3,4.64,0.66,1959.04,1619.83,17.32,205.86,216.84,5.34,April 2022
BIMBO,OT,2022-12-01,4.52,3.68,0.84,2546.66,1718.76,32.51,243.14,211.93,12.84,April 2022
BIMBO,OT,2023-01-01,4.88,3.97,0.91,2418.09,1755.44,27.4,218.81,223.06,1.94,April 2022
BIMBO,OT,2023-02-01,5.26,5.64,0.38,1934.91,1758.27,9.13,176.74,231.35,30.9,April 2022
BIMBO,OT,2023-03-01,5.88,4.99,0.89,2431.01,1781.06,26.74,247.2,252.27,2.05,April 2022
BIMBO,OT,2023-04-01,,4.81,,,1892.28,,,241.67,,April 2022
BIMBO,TRADITIONAL,2022-05-01,3.37,2.98,0.39,5314.37,4620.9,13.05,1497.87,1439.53,3.89,April 2022
BIMBO,TRADITIONAL,2022-06-01,3.26,3.05,0.21,5282.18,4801.75,9.1,1416.69,1486.61,4.94,April 2022
BIMBO,TRADITIONAL,2022-07-01,3.6,3.11,0.49,5860.3,4996.83,14.73,1537.16,1537.48,0.02,April 2022
