Manufacturer,PPU,TDP,Units,Sales,Date,Channel,SOM,Month,Year,Quarter,units_avg_y,units_avg_q,monthly_index,quarterly_index,Model_x,Model_y,BIMBO PPU,DIANA PPU,DINANT PPU,KELLOGGS PPU,OTHERS PPU,PEPSICO PPU,SEÑORIAL PPU,BIMBO TDP,DIANA TDP,DINANT TDP,KELLOGGS TDP,OTHERS TDP,PEPSICO TDP,SEÑORIAL TDP
BIMBO,6.57,18.0,3.35,22.0,2019-01-01,OT,0.06,1.0,2019.0,1.0,7.81,108.72,0.43,0.03,,,6.57,6.74,8.98,10.92,12.47,9.33,5.19,18.0,771.0,244.0,319.0,984.0,1616.0,621.0
DIANA,6.74,771.0,634.03,4276.0,2019-01-01,OT,11.46,1.0,2019.0,1.0,613.96,685.97,1.03,0.92,,,6.57,6.74,8.98,10.92,12.47,9.33,5.19,18.0,771.0,244.0,319.0,984.0,1616.0,621.0
DINANT,8.98,244.0,140.7,1263.0,2019-01-01,OT,3.38,1.0,2019.0,1.0,146.27,189.92,0.96,0.74,,,6.57,6.74,8.98,10.92,12.47,9.33,5.19,18.0,771.0,244.0,319.0,984.0,1616.0,621.0
KELLOGGS,10.92,319.0,339.03,3703.0,2019-01-01,OT,9.92,1.0,2019.0,1.0,283.76,298.92,1.19,1.13,,,6.57,6.74,8.98,10.92,12.47,9.33,5.19,18.0,771.0,244.0,319.0,984.0,1616.0,621.0
OTHERS,12.47,984.0,509.85,6356.0,2019-01-01,OT,17.03,1.0,2019.0,1.0,491.49,529.09,1.04,0.96,,,6.57,6.74,8.98,10.92,12.47,9.33,5.19,18.0,771.0,244.0,319.0,984.0,1616.0,621.0
PEPSICO,9.33,1616.0,1482.69,13836.0,2019-01-01,OT,37.07,1.0,2019.0,1.0,1225.71,1336.08,1.21,1.11,,,6.57,6.74,8.98,10.92,12.47,9.33,5.19,18.0,771.0,244.0,319.0,984.0,1616.0,621.0
SEÑORIAL,5.19,621.0,1515.56,7870.0,2019-01-01,OT,21.08,1.0,2019.0,1.0,1271.92,874.62,1.19,1.73,,,6.57,6.74,8.98,10.92,12.47,9.33,5.19,18.0,771.0,244.0,319.0,984.0,1616.0,621.0
BIMBO,2.69,19.0,568.09,1530.0,2019-01-01,TRADITIONAL,0.99,1.0,2019.0,1.0,619.55,1045.75,0.92,0.54,,,2.69,0.63,1.08,5.8,0.61,1.43,0.96,19.0,643.0,213.0,32.0,243.0,1229.0,563.0
DIANA,0.63,643.0,41843.19,26397.0,2019-01-01,TRADITIONAL,17.03,1.0,2019.0,1.0,41455.47,32709.27,1.01,1.28,,,2.69,0.63,1.08,5.8,0.61,1.43,0.96,19.0,643.0,213.0,32.0,243.0,1229.0,563.0
DINANT,1.08,213.0,9706.31,10443.0,2019-01-01,TRADITIONAL,6.74,1.0,2019.0,1.0,9103.9,11327.75,1.07,0.86,,,2.69,0.63,1.08,5.8,0.61,1.43,0.96,19.0,643.0,213.0,32.0,243.0,1229.0,563.0
KELLOGGS,5.8,32.0,245.61,1424.0,2019-01-01,TRADITIONAL,0.92,1.0,2019.0,1.0,220.77,260.27,1.11,0.94,,,2.69,0.63,1.08,5.8,0.61,1.43,0.96,19.0,643.0,213.0,32.0,243.0,1229.0,563.0
OTHERS,0.61,243.0,10395.9,6378.0,2019-01-01,TRADITIONAL,4.11,1.0,2019.0,1.0,10828.79,10559.28,0.96,0.98,,,2.69,0.63,1.08,5.8,0.61,1.43,0.96,19.0,643.0,213.0,32.0,243.0,1229.0,563.0
PEPSICO,1.43,1229.0,58087.44,83298.0,2019-01-01,TRADITIONAL,53.74,1.0,2019.0,1.0,54629.51,52075.63,1.06,1.12,,,2.69,0.63,1.08,5.8,0.61,1.43,0.96,19.0,643.0,213.0,32.0,243.0,1229.0,563.0
SEÑORIAL,0.96,563.0,26731.39,25538.0,2019-01-01,TRADITIONAL,16.48,1.0,2019.0,1.0,23920.0,21860.46,1.12,1.22,,,2.69,0.63,1.08,5.8,0.61,1.43,0.96,19.0,643.0,213.0,32.0,243.0,1229.0,563.0
BIMBO,6.57,17.0,2.89,19.0,2019-02-01,OT,0.07,2.0,2019.0,1.0,7.81,108.72,0.37,0.03,,,6.57,6.49,9.13,9.61,12.21,8.98,5.27,17.0,758.0,241.0,331.0,967.0,1606.0,616.0
DIANA,6.49,758.0,440.94,2862.0,2019-02-01,OT,10.75,2.0,2019.0,1.0,613.96,685.97,0.72,0.64,,,6.57,6.49,9.13,9.61,12.21,8.98,5.27,17.0,758.0,241.0,331.0,967.0,1606.0,616.0
DINANT,9.13,241.0,102.37,935.0,2019-02-01,OT,3.51,2.0,2019.0,1.0,146.27,189.92,0.7,0.54,,,6.57,6.49,9.13,9.61,12.21,8.98,5.27,17.0,758.0,241.0,331.0,967.0,1606.0,616.0
KELLOGGS,9.61,331.0,281.43,2705.0,2019-02-01,OT,10.16,2.0,2019.0,1.0,283.76,298.92,0.99,0.94,,,6.57,6.49,9.13,9.61,12.21,8.98,5.27,17.0,758.0,241.0,331.0,967.0,1606.0,616.0
OTHERS,12.21,967.0,388.17,4739.0,2019-02-01,OT,17.8,2.0,2019.0,1.0,491.49,529.09,0.79,0.73,,,6.57,6.49,9.13,9.61,12.21,8.98,5.27,17.0,758.0,241.0,331.0,967.0,1606.0,616.0
PEPSICO,8.98,1606.0,1009.37,9067.0,2019-02-01,OT,34.06,2.0,2019.0,1.0,1225.71,1336.08,0.82,0.76,,,6.57,6.49,9.13,9.61,12.21,8.98,5.27,17.0,758.0,241.0,331.0,967.0,1606.0,616.0
SEÑORIAL,5.27,616.0,1195.13,6294.0,2019-02-01,OT,23.64,2.0,2019.0,1.0,1271.92,874.62,0.94,1.37,,,6.57,6.49,9.13,9.61,12.21,8.98,5.27,17.0,758.0,241.0,331.0,967.0,1606.0,616.0
BIMBO,2.47,17.0,592.76,1467.0,2019-02-01,TRADITIONAL,1.04,2.0,2019.0,1.0,619.55,1045.75,0.96,0.57,,,2.47,0.63,1.06,6.23,0.61,1.44,0.97,17.0,617.0,214.0,35.0,244.0,1200.0,548.0
DIANA,0.63,617.0,39329.7,24686.0,2019-02-01,TRADITIONAL,17.42,2.0,2019.0,1.0,41455.47,32709.27,0.95,1.2,,,2.47,0.63,1.06,6.23,0.61,1.44,0.97,17.0,617.0,214.0,35.0,244.0,1200.0,548.0
DINANT,1.06,214.0,8767.82,9305.0,2019-02-01,TRADITIONAL,6.57,2.0,2019.0,1.0,9103.9,11327.75,0.96,0.77,,,2.47,0.63,1.06,6.23,0.61,1.44,0.97,17.0,617.0,214.0,35.0,244.0,1200.0,548.0
KELLOGGS,6.23,35.0,211.78,1319.0,2019-02-01,TRADITIONAL,0.93,2.0,2019.0,1.0,220.77,260.27,0.96,0.81,,,2.47,0.63,1.06,6.23,0.61,1.44,0.97,17.0,617.0,214.0,35.0,244.0,1200.0,548.0
OTHERS,0.61,244.0,9531.22,5854.0,2019-02-01,TRADITIONAL,4.13,2.0,2019.0,1.0,10828.79,10559.28,0.88,0.9,,,2.47,0.63,1.06,6.23,0.61,1.44,0.97,17.0,617.0,214.0,35.0,244.0,1200.0,548.0
PEPSICO,1.44,1200.0,52658.85,75843.0,2019-02-01,TRADITIONAL,53.53,2.0,2019.0,1.0,54629.51,52075.63,0.96,1.01,,,2.47,0.63,1.06,6.23,0.61,1.44,0.97,17.0,617.0,214.0,35.0,244.0,1200.0,548.0
SEÑORIAL,0.97,548.0,23986.29,23210.0,2019-02-01,TRADITIONAL,16.38,2.0,2019.0,1.0,23920.0,21860.46,1.0,1.1,,,2.47,0.63,1.06,6.23,0.61,1.44,0.97,17.0,617.0,214.0,35.0,244.0,1200.0,548.0
BIMBO,6.71,16.0,3.13,21.0,2019-03-01,OT,0.07,3.0,2019.0,1.0,7.81,108.72,0.4,0.03,,,6.71,6.41,9.15,9.63,12.57,9.12,5.21,16.0,735.0,245.0,304.0,936.0,1568.0,606.0
DIANA,6.41,735.0,512.67,3285.0,2019-03-01,OT,11.05,3.0,2019.0,1.0,613.96,685.97,0.84,0.75,,,6.71,6.41,9.15,9.63,12.57,9.12,5.21,16.0,735.0,245.0,304.0,936.0,1568.0,606.0
DINANT,9.15,245.0,112.75,1032.0,2019-03-01,OT,3.47,3.0,2019.0,1.0,146.27,189.92,0.77,0.59,,,6.71,6.41,9.15,9.63,12.57,9.12,5.21,16.0,735.0,245.0,304.0,936.0,1568.0,606.0
KELLOGGS,9.63,304.0,269.15,2592.0,2019-03-01,OT,8.72,3.0,2019.0,1.0,283.76,298.92,0.95,0.9,,,6.71,6.41,9.15,9.63,12.57,9.12,5.21,16.0,735.0,245.0,304.0,936.0,1568.0,606.0
OTHERS,12.57,936.0,447.17,5620.0,2019-03-01,OT,18.9,3.0,2019.0,1.0,491.49,529.09,0.91,0.85,,,6.71,6.41,9.15,9.63,12.57,9.12,5.21,16.0,735.0,245.0,304.0,936.0,1568.0,606.0
PEPSICO,9.12,1568.0,1132.35,10322.0,2019-03-01,OT,34.72,3.0,2019.0,1.0,1225.71,1336.08,0.92,0.85,,,6.71,6.41,9.15,9.63,12.57,9.12,5.21,16.0,735.0,245.0,304.0,936.0,1568.0,606.0
SEÑORIAL,5.21,606.0,1315.06,6856.0,2019-03-01,OT,23.06,3.0,2019.0,1.0,1271.92,874.62,1.03,1.5,,,6.71,6.41,9.15,9.63,12.57,9.12,5.21,16.0,735.0,245.0,304.0,936.0,1568.0,606.0
BIMBO,2.45,18.0,615.47,1508.0,2019-03-01,TRADITIONAL,0.96,3.0,2019.0,1.0,619.55,1045.75,0.99,0.59,,,2.45,0.64,1.07,5.97,0.62,1.42,0.96,18.0,613.0,216.0,34.0,246.0,1170.0,552.0
DIANA,0.64,613.0,44583.03,28432.0,2019-03-01,TRADITIONAL,18.19,3.0,2019.0,1.0,41455.47,32709.27,1.08,1.36,,,2.45,0.64,1.07,5.97,0.62,1.42,0.96,18.0,613.0,216.0,34.0,246.0,1170.0,552.0
DINANT,1.07,216.0,8810.87,9420.0,2019-03-01,TRADITIONAL,6.03,3.0,2019.0,1.0,9103.9,11327.75,0.97,0.78,,,2.45,0.64,1.07,5.97,0.62,1.42,0.96,18.0,613.0,216.0,34.0,246.0,1170.0,552.0
KELLOGGS,5.97,34.0,242.39,1447.0,2019-03-01,TRADITIONAL,0.93,3.0,2019.0,1.0,220.77,260.27,1.1,0.93,,,2.45,0.64,1.07,5.97,0.62,1.42,0.96,18.0,613.0,216.0,34.0,246.0,1170.0,552.0
OTHERS,0.62,246.0,10467.05,6466.0,2019-03-01,TRADITIONAL,4.14,3.0,2019.0,1.0,10828.79,10559.28,0.97,0.99,,,2.45,0.64,1.07,5.97,0.62,1.42,0.96,18.0,613.0,216.0,34.0,246.0,1170.0,552.0
PEPSICO,1.42,1170.0,59405.23,84423.0,2019-03-01,TRADITIONAL,54.01,3.0,2019.0,1.0,54629.51,52075.63,1.09,1.14,,,2.45,0.64,1.07,5.97,0.62,1.42,0.96,18.0,613.0,216.0,34.0,246.0,1170.0,552.0
SEÑORIAL,0.96,552.0,25589.45,24602.0,2019-03-01,TRADITIONAL,15.74,3.0,2019.0,1.0,23920.0,21860.46,1.07,1.17,,,2.45,0.64,1.07,5.97,0.62,1.42,0.96,18.0,613.0,216.0,34.0,246.0,1170.0,552.0
BIMBO,6.68,31.0,4.64,31.0,2019-04-01,OT,0.09,4.0,2019.0,2.0,7.81,104.67,0.59,0.04,,,6.68,6.25,8.87,10.11,12.34,9.4,5.11,31.0,791.0,250.0,318.0,994.0,1548.0,651.0
DIANA,6.25,791.0,663.9,4148.0,2019-04-01,OT,11.79,4.0,2019.0,2.0,613.96,635.42,1.08,1.04,,,6.68,6.25,8.87,10.11,12.34,9.4,5.11,31.0,791.0,250.0,318.0,994.0,1548.0,651.0
DINANT,8.87,250.0,133.11,1181.0,2019-04-01,OT,3.36,4.0,2019.0,2.0,146.27,164.83,0.91,0.81,,,6.68,6.25,8.87,10.11,12.34,9.4,5.11,31.0,791.0,250.0,318.0,994.0,1548.0,651.0
KELLOGGS,10.11,318.0,291.03,2943.0,2019-04-01,OT,8.36,4.0,2019.0,2.0,283.76,262.98,1.03,1.11,,,6.68,6.25,8.87,10.11,12.34,9.4,5.11,31.0,791.0,250.0,318.0,994.0,1548.0,651.0
OTHERS,12.34,994.0,552.24,6817.0,2019-04-01,OT,19.37,4.0,2019.0,2.0,491.49,483.0,1.12,1.14,,,6.68,6.25,8.87,10.11,12.34,9.4,5.11,31.0,791.0,250.0,318.0,994.0,1548.0,651.0
PEPSICO,9.4,1548.0,1325.94,12466.0,2019-04-01,OT,35.42,4.0,2019.0,2.0,1225.71,1158.02,1.08,1.15,,,6.68,6.25,8.87,10.11,12.34,9.4,5.11,31.0,791.0,250.0,318.0,994.0,1548.0,651.0
SEÑORIAL,5.11,651.0,1488.39,7605.0,2019-04-01,OT,21.61,4.0,2019.0,2.0,1271.92,822.09,1.17,1.81,,,6.68,6.25,8.87,10.11,12.34,9.4,5.11,31.0,791.0,250.0,318.0,994.0,1548.0,651.0
BIMBO,2.48,18.0,653.53,1622.0,2019-04-01,TRADITIONAL,1.11,4.0,2019.0,2.0,619.55,914.2,1.05,0.71,,,2.48,0.64,1.08,6.16,0.62,1.43,0.97,18.0,605.0,225.0,36.0,249.0,1102.0,553.0
DIANA,0.64,605.0,40488.07,25717.0,2019-04-01,TRADITIONAL,17.61,4.0,2019.0,2.0,41455.47,31758.24,0.98,1.27,,,2.48,0.64,1.08,6.16,0.62,1.43,0.97,18.0,605.0,225.0,36.0,249.0,1102.0,553.0
DINANT,1.08,225.0,8536.63,9226.0,2019-04-01,TRADITIONAL,6.32,4.0,2019.0,2.0,9103.9,10909.24,0.94,0.78,,,2.48,0.64,1.08,6.16,0.62,1.43,0.97,18.0,605.0,225.0,36.0,249.0,1102.0,553.0
KELLOGGS,6.16,36.0,285.07,1755.0,2019-04-01,TRADITIONAL,1.2,4.0,2019.0,2.0,220.77,251.34,1.29,1.13,,,2.48,0.64,1.08,6.16,0.62,1.43,0.97,18.0,605.0,225.0,36.0,249.0,1102.0,553.0
OTHERS,0.62,249.0,9682.42,6040.0,2019-04-01,TRADITIONAL,4.13,4.0,2019.0,2.0,10828.79,10336.06,0.89,0.94,,,2.48,0.64,1.08,6.16,0.62,1.43,0.97,18.0,605.0,225.0,36.0,249.0,1102.0,553.0
