features,coef,Manufacturer,Channel
BIMBO PPU,-447.18253849492703,BIMBO,OT
DIANA PPU,0.0010000000000131629,BIMBO,OT
DINANT PPU,74.94522568544859,BIMBO,OT
KELLOGGS PPU,542.1253306179311,BIMBO,OT
OTHERS PPU,678.4205195594714,BIMBO,OT
PEPSICO PPU,0.0010000000001843224,BIMBO,OT
SEÑORIAL PPU,111.92046573355867,BIMBO,OT
BIMBO TDP,185.67657843893147,BIMBO,OT
DIANA TDP,-0.0010000000000000612,BIMBO,OT
DINANT TDP,-232.91321161885998,BIMBO,OT
KELLOGGS TDP,-0.001000000002040465,BIMBO,OT
OTHERS TDP,-0.0010000000000000074,BIMBO,OT
PEPSICO TDP,-0.0010000000319091932,BIMBO,OT
SEÑORIAL TDP,-0.001000000000332558,BIMBO,OT
intercept,-759.634453241745,BIMBO,OT
BIMBO PPU,-579.9117943327349,BIMBO,TRADITIONAL
DIANA PPU,1429.1113683796855,BIMBO,TRADITIONAL
DINANT PPU,1596.2390466672023,BIMBO,TRADITIONAL
KELLOGGS PPU,6.804060275140529,BIMBO,TRADITIONAL
OTHERS PPU,336.92315278842403,BIMBO,TRADITIONAL
PEPSICO PPU,561.2224722561315,BIMBO,TRADITIONAL
SEÑORIAL PPU,0.0010000000000000005,BIMBO,TRADITIONAL
BIMBO TDP,367.9955609459803,BIMBO,TRADITIONAL
DIANA TDP,-0.0010000000000000009,BIMBO,TRADITIONAL
DINANT TDP,-0.0010000000000068951,BIMBO,TRADITIONAL
KELLOGGS TDP,-71.00246166321045,BIMBO,TRADITIONAL
OTHERS TDP,-638.0906549359449,BIMBO,TRADITIONAL
PEPSICO TDP,-0.0010000000000000007,BIMBO,TRADITIONAL
SEÑORIAL TDP,-0.001000000000000155,BIMBO,TRADITIONAL
monthly_index,851.1873015059651,BIMBO,TRADITIONAL
quarterly_index,999.1496094914203,BIMBO,TRADITIONAL
intercept,2431.6060593697525,BIMBO,TRADITIONAL
DIANA PPU,-656.138293972087,DIANA,OT
