Month,Channel,Manufacturer,Model Selected,Training Period,Training Error (Units WAPE in %),Testing Period,Testing Error (Units WAPE in %)
Apr-22,OT,BIMBO,ConstrainedRegression,Jan 19 - May 21,76.66,Jun 21 - Apr 22,9.31
Apr-22,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - May 21,4.85,Jun 21 - Apr 22,3.23
Apr-22,OT,DIANA,ConstrainedRegression,Jan 19 - May 21,4.98,Jun 21 - Apr 22,3.09
Apr-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - May 21,1.49,Jun 21 - Apr 22,2.05
Apr-22,OT,DINANT,ConstrainedRegression,Jan 19 - May 21,5.08,Jun 21 - Apr 22,3.51
Apr-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - May 21,1.71,Jun 21 - Apr 22,1.11
Apr-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - May 21,2.98,Jun 21 - Apr 22,2.91
Apr-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - May 21,4.24,Jun 21 - Apr 22,2.73
Apr-22,OT,OTHERS,ConstrainedRegression,Jan 19 - May 21,2.73,Jun 21 - Apr 22,2.03
Apr-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - May 21,0.95,Jun 21 - Apr 22,0.72
Apr-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - May 21,2.53,Jun 21 - Apr 22,4.18
Apr-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - May 21,0.62,Jun 21 - Apr 22,0.67
Apr-22,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - May 21,3.15,Jun 21 - Apr 22,6.59
Apr-22,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - May 21,1.33,Jun 21 - Apr 22,1.57
May-22,OT,BIMBO,ConstrainedRegression,Jan 19 - Jul 21,66.38,Aug 21 - May 22,7.54
May-22,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Jul 21,7.26,Aug 21 - May 22,2.94
May-22,OT,DIANA,ConstrainedRegression,Jan 19 - Jul 21,4.2,Aug 21 - May 22,3.88
May-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Jul 21,1.81,Aug 21 - May 22,2.75
May-22,OT,DINANT,ConstrainedRegression,Jan 19 - Jul 21,5.09,Aug 21 - May 22,3.45
May-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Jul 21,1.62,Aug 21 - May 22,1.25
May-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Jul 21,2.84,Aug 21 - May 22,3.82
May-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Jul 21,4.23,Aug 21 - May 22,2.3
May-22,OT,OTHERS,ConstrainedRegression,Jan 19 - Jul 21,2.6,Aug 21 - May 22,2.39
May-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Jul 21,0.93,Aug 21 - May 22,0.94
May-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - Jul 21,2.44,Aug 21 - May 22,4.42
May-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Jul 21,0.64,Aug 21 - May 22,0.52
May-22,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Jul 21,3.36,Aug 21 - May 22,6.81
May-22,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Jul 21,2.16,Aug 21 - May 22,1.29
Jun-22,OT,BIMBO,ConstrainedRegression,Jan 19 - Sep 21,64.82,Oct 21 - Jun 22,6.22
Jun-22,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Sep 21,5.57,Oct 21 - Jun 22,2.65
Jun-22,OT,DIANA,ConstrainedRegression,Jan 19 - Sep 21,4.04,Oct 21 - Jun 22,4.77
Jun-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Sep 21,1.65,Oct 21 - Jun 22,4.14
Jun-22,OT,DINANT,ConstrainedRegression,Jan 19 - Sep 21,4.8,Oct 21 - Jun 22,4.53
Jun-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Sep 21,6.32,Oct 21 - Jun 22,1.55
Jun-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Sep 21,6.91,Oct 21 - Jun 22,3.18
Jun-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Sep 21,3.48,Oct 21 - Jun 22,1.94
Jun-22,OT,OTHERS,ConstrainedRegression,Jan 19 - Sep 21,3.28,Oct 21 - Jun 22,2.61
Jun-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Sep 21,0.92,Oct 21 - Jun 22,1.3
Jun-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - Sep 21,2.63,Oct 21 - Jun 22,4.0
Jun-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Sep 21,0.58,Oct 21 - Jun 22,0.53
Jun-22,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Sep 21,9.04,Oct 21 - Jun 22,6.39
Jun-22,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Sep 21,2.1,Oct 21 - Jun 22,1.35
Jul-22,OT,BIMBO,ConstrainedRegression,Jan 19 - Nov 21,57.99,Dec 21 - Jul 22,9.72
Jul-22,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Nov 21,5.29,Dec 21 - Jul 22,2.5
Jul-22,OT,DIANA,ConstrainedRegression,Jan 19 - Nov 21,3.92,Dec 21 - Jul 22,5.34
Jul-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Nov 21,1.71,Dec 21 - Jul 22,3.92
Jul-22,OT,DINANT,ConstrainedRegression,Jan 19 - Nov 21,4.53,Dec 21 - Jul 22,4.51
Jul-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Nov 21,1.55,Dec 21 - Jul 22,1.72
Jul-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Nov 21,8.5,Dec 21 - Jul 22,4.15
Jul-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Nov 21,3.38,Dec 21 - Jul 22,2.67
Jul-22,OT,OTHERS,ConstrainedRegression,Jan 19 - Nov 21,3.17,Dec 21 - Jul 22,2.41
Jul-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Nov 21,0.91,Dec 21 - Jul 22,2.49
Jul-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - Nov 21,2.56,Dec 21 - Jul 22,4.36
Jul-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Nov 21,0.62,Dec 21 - Jul 22,0.33
