Manufacturer,Channel,Training Upto,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,Overall WAPE
BIMBO,OT,April 2022,6.99,12.58,28.19,18.92,21.15,12.31,21.45,22.56,28.81,30.56,28.19,21.5
BIMBO,TRADITIONAL,April 2022,9.52,13.29,14.81,17.84,16.16,19.45,17.57,14.63,15.82,17.26,20.39,16.22
DIANA,OT,April 2022,1.02,4.57,1.18,1.9,4.23,1.6,2.92,0.54,6.05,4.03,7.83,3.28
DIANA,TRADITIONAL,April 2022,5.11,7.35,8.88,5.9,6.04,5.21,8.35,10.73,9.41,9.75,11.83,8.09
DINANT,OT,April 2022,3.14,6.6,9.64,14.47,13.33,5.29,8.17,9.79,8.36,2.87,6.65,8.07
DINANT,TRADITIONAL,April 2022,0.91,0.19,2.37,8.1,11.28,15.98,16.86,18.43,17.39,15.89,15.7,11.68
KELLOGGS,OT,April 2022,2.62,0.87,1.4,6.14,3.62,0.73,6.53,8.1,5.9,8.86,11.0,5.2
KELLOGGS,TRADITIONAL,April 2022,2.63,5.16,4.48,7.19,10.28,8.82,11.29,14.01,3.81,18.68,8.58,8.46
OTHERS,OT,April 2022,0.82,2.24,3.08,0.98,2.53,4.85,5.52,0.93,6.27,10.58,11.84,4.42
OTHERS,TRADITIONAL,April 2022,11.22,15.29,17.51,16.64,17.95,21.74,20.85,23.88,22.38,21.35,24.4,19.64
PEPSICO,OT,April 2022,3.23,0.08,0.04,0.7,10.02,12.22,13.13,5.96,8.21,9.58,6.88,6.22
PEPSICO,TRADITIONAL,April 2022,0.25,2.42,5.24,7.85,8.99,10.7,12.0,16.04,16.68,16.1,18.48,10.86
SEÑORIAL,OT,April 2022,0.13,2.67,1.49,2.32,21.65,14.13,5.95,0.14,8.37,10.5,17.32,8.36
SEÑORIAL,TRADITIONAL,April 2022,0.64,0.62,2.01,1.56,1.3,0.93,0.87,1.58,1.07,0.76,1.07,1.13
BIMBO,OT,May 2022,,15.26,30.01,21.23,22.12,16.22,23.44,26.2,30.39,32.25,29.87,24.96
BIMBO,TRADITIONAL,May 2022,,10.4,12.33,14.88,13.51,16.45,14.83,11.04,12.24,13.67,16.96,13.7
DIANA,OT,May 2022,,4.1,0.16,0.91,7.88,3.49,3.22,4.39,4.39,2.85,5.09,3.65
DIANA,TRADITIONAL,May 2022,,1.64,2.29,0.77,1.22,2.51,0.69,2.02,1.05,0.96,1.92,1.5
DINANT,OT,May 2022,,4.28,7.39,12.33,11.21,2.99,5.94,7.61,6.16,0.54,4.4,6.31
DINANT,TRADITIONAL,May 2022,,0.22,1.94,7.61,10.81,15.49,16.37,17.91,16.85,15.31,15.05,12.15
KELLOGGS,OT,May 2022,,3.59,4.13,9.0,6.41,1.94,4.01,5.62,3.37,6.4,8.6,5.29
KELLOGGS,TRADITIONAL,May 2022,,3.48,2.81,5.48,8.52,7.09,9.51,12.19,2.14,16.77,6.84,7.35
OTHERS,OT,May 2022,,0.78,1.33,5.2,0.3,1.45,1.72,6.17,10.75,16.2,15.51,5.69
OTHERS,TRADITIONAL,May 2022,,2.09,7.93,18.16,25.58,29.12,40.24,44.54,57.65,70.43,74.44,38.24
PEPSICO,OT,May 2022,,2.8,2.68,2.04,7.03,9.16,10.05,3.08,5.26,6.59,3.97,5.17
PEPSICO,TRADITIONAL,May 2022,,2.27,5.08,7.7,8.86,10.57,11.87,15.91,16.54,15.96,18.36,11.65
SEÑORIAL,OT,May 2022,,2.65,1.51,2.3,21.63,14.12,5.93,0.16,8.35,10.49,17.3,9.09
SEÑORIAL,TRADITIONAL,May 2022,,0.71,2.1,1.7,1.44,1.1,1.03,1.76,1.27,0.99,0.8,1.29
BIMBO,OT,June 2022,,,25.97,17.01,18.83,10.85,19.35,20.75,27.07,28.87,25.25,21.69
