Manufacturer,Channel,Date,PPU,PPU_hat,PPU MAPE,TDP,TDP_hat,TDP MAPE,forecast_month
BIMBO,OT,2022-05-01,8.38,7.8,6.99,344.0,415.0,20.64,April 2022
BIMBO,OT,2022-06-01,8.57,7.49,12.58,350.0,425.0,21.43,April 2022
BIMBO,OT,2022-07-01,9.14,6.56,28.19,377.0,405.0,7.43,April 2022
BIMBO,OT,2022-08-01,9.46,7.67,18.92,386.0,408.0,5.7,April 2022
BIMBO,OT,2022-09-01,9.54,7.52,21.15,386.0,410.0,6.22,April 2022
BIMBO,OT,2022-10-01,9.97,8.74,12.31,389.0,432.0,11.05,April 2022
BIMBO,OT,2022-11-01,9.52,7.47,21.45,355.0,410.0,15.49,April 2022
BIMBO,OT,2022-12-01,10.47,8.11,22.56,355.0,439.0,23.66,April 2022
BIMBO,OT,2023-01-01,11.05,7.87,28.81,375.0,439.0,17.07,April 2022
BIMBO,OT,2023-02-01,10.95,7.6,30.56,384.0,449.0,16.93,April 2022
BIMBO,OT,2023-03-01,9.83,7.06,28.19,397.0,492.0,23.93,April 2022
BIMBO,OT,2023-04-01,,7.83,,,479.0,,April 2022
BIMBO,TRADITIONAL,2022-05-01,3.55,3.21,9.52,67.0,66.0,1.49,April 2022
BIMBO,TRADITIONAL,2022-06-01,3.73,3.23,13.29,76.0,67.0,11.84,April 2022
BIMBO,TRADITIONAL,2022-07-01,3.81,3.25,14.81,82.0,69.0,15.85,April 2022
BIMBO,TRADITIONAL,2022-08-01,4.08,3.35,17.84,87.0,68.0,21.84,April 2022
BIMBO,TRADITIONAL,2022-09-01,4.05,3.39,16.16,91.0,72.0,20.88,April 2022
BIMBO,TRADITIONAL,2022-10-01,4.18,3.37,19.45,96.0,70.0,27.08,April 2022
BIMBO,TRADITIONAL,2022-11-01,4.15,3.42,17.57,96.0,78.0,18.75,April 2022
BIMBO,TRADITIONAL,2022-12-01,4.06,3.47,14.63,96.0,87.0,9.38,April 2022
BIMBO,TRADITIONAL,2023-01-01,4.01,3.38,15.82,96.0,86.0,10.42,April 2022
BIMBO,TRADITIONAL,2023-02-01,4.18,3.46,17.26,100.0,89.0,11.0,April 2022
BIMBO,TRADITIONAL,2023-03-01,4.36,3.47,20.39,105.0,90.0,14.29,April 2022
BIMBO,TRADITIONAL,2023-04-01,,3.39,,,97.0,,April 2022
DIANA,OT,2022-05-01,6.53,6.46,1.02,1080.0,1130.0,4.63,April 2022
DIANA,OT,2022-06-01,6.59,6.29,4.57,1040.0,1120.0,7.69,April 2022
DIANA,OT,2022-07-01,6.56,6.48,1.18,1087.0,1079.0,0.74,April 2022
DIANA,OT,2022-08-01,6.5,6.62,1.9,1066.0,1055.0,1.03,April 2022
DIANA,OT,2022-09-01,6.52,6.24,4.23,1031.0,1087.0,5.43,April 2022
DIANA,OT,2022-10-01,6.72,6.61,1.6,1006.0,1133.0,12.62,April 2022
DIANA,OT,2022-11-01,6.78,6.58,2.92,882.0,1150.0,30.39,April 2022
DIANA,OT,2022-12-01,6.69,6.66,0.54,918.0,1149.0,25.16,April 2022
DIANA,OT,2023-01-01,6.81,6.4,6.05,908.0,1107.0,21.92,April 2022
DIANA,OT,2023-02-01,6.79,6.51,4.03,914.0,1106.0,21.01,April 2022
DIANA,OT,2023-03-01,6.8,6.27,7.83,948.0,1210.0,27.64,April 2022
DIANA,OT,2023-04-01,,6.29,,,1202.0,,April 2022
DIANA,TRADITIONAL,2022-05-01,0.97,1.02,5.11,648.0,599.0,7.56,April 2022
DIANA,TRADITIONAL,2022-06-01,0.98,1.05,7.35,650.0,570.0,12.31,April 2022
DIANA,TRADITIONAL,2022-07-01,0.99,1.07,8.88,656.0,576.0,12.2,April 2022
DIANA,TRADITIONAL,2022-08-01,1.03,1.09,5.9,622.0,552.0,11.25,April 2022
DIANA,TRADITIONAL,2022-09-01,1.05,1.12,6.04,632.0,523.0,17.25,April 2022
DIANA,TRADITIONAL,2022-10-01,1.06,1.12,5.21,637.0,546.0,14.29,April 2022
DIANA,TRADITIONAL,2022-11-01,1.06,1.14,8.35,623.0,554.0,11.08,April 2022
DIANA,TRADITIONAL,2022-12-01,1.05,1.16,10.73,626.0,556.0,11.18,April 2022
DIANA,TRADITIONAL,2023-01-01,1.06,1.17,9.41,646.0,522.0,19.2,April 2022
DIANA,TRADITIONAL,2023-02-01,1.07,1.18,9.75,644.0,503.0,21.89,April 2022
DIANA,TRADITIONAL,2023-03-01,1.08,1.21,11.83,646.0,518.0,19.81,April 2022
DIANA,TRADITIONAL,2023-04-01,,1.22,,,521.0,,April 2022
DINANT,OT,2022-05-01,8.7,8.43,3.14,420.0,424.0,0.95,April 2022
DINANT,OT,2022-06-01,8.89,8.3,6.6,406.0,427.0,5.17,April 2022
DINANT,OT,2022-07-01,8.97,8.11,9.64,392.0,411.0,4.85,April 2022
DINANT,OT,2022-08-01,9.24,7.9,14.47,398.0,431.0,8.29,April 2022
DINANT,OT,2022-09-01,9.3,8.06,13.33,417.0,429.0,2.88,April 2022
DINANT,OT,2022-10-01,9.17,8.69,5.29,429.0,442.0,3.03,April 2022
DINANT,OT,2022-11-01,8.9,8.18,8.17,463.0,442.0,4.54,April 2022
DINANT,OT,2022-12-01,8.81,7.95,9.79,392.0,435.0,10.97,April 2022
DINANT,OT,2023-01-01,9.15,8.39,8.36,386.0,404.0,4.66,April 2022
DINANT,OT,2023-02-01,8.99,8.73,2.87,372.0,390.0,4.84,April 2022
DINANT,OT,2023-03-01,8.98,8.38,6.65,415.0,391.0,5.78,April 2022
DINANT,OT,2023-04-01,,8.34,,,383.0,,April 2022
DINANT,TRADITIONAL,2022-05-01,1.2,1.19,0.91,391.0,417.0,6.65,April 2022
DINANT,TRADITIONAL,2022-06-01,1.21,1.2,0.19,387.0,425.0,9.82,April 2022
DINANT,TRADITIONAL,2022-07-01,1.23,1.21,2.37,393.0,426.0,8.4,April 2022
DINANT,TRADITIONAL,2022-08-01,1.28,1.18,8.1,398.0,430.0,8.04,April 2022
DINANT,TRADITIONAL,2022-09-01,1.35,1.2,11.28,389.0,424.0,9.0,April 2022
DINANT,TRADITIONAL,2022-10-01,1.42,1.19,15.98,370.0,460.0,24.32,April 2022
DINANT,TRADITIONAL,2022-11-01,1.43,1.19,16.86,357.0,463.0,29.69,April 2022
DINANT,TRADITIONAL,2022-12-01,1.47,1.2,18.43,353.0,468.0,32.58,April 2022
DINANT,TRADITIONAL,2023-01-01,1.45,1.2,17.39,400.0,473.0,18.25,April 2022
