Year,avg_sales,avg_ppu,Manufacturer,Channel
2024,3177,13.043201465088472,BIMBO,OT
2025,4464,13.11041829308189,BIMBO,OT
2026,6273,13.177981516243511,BIMBO,OT
2024,6067,7.456732094661225,DIANA,OT
2025,6676,7.472139200931231,DIANA,OT
2026,7346,7.487578141377469,DIANA,OT
2024,2471,10.49953631641908,DINANT,OT
2025,2783,10.792247553489416,DINANT,OT
2026,3133,11.093119138381327,DINANT,OT
2024,4634,17.31335188187977,KELLOGGS,OT
2025,5140,18.220055524461394,KELLOGGS,OT
2026,5701,19.17424341510079,KELLOGGS,OT
2024,9010,13.721716906547892,OTHERS,OT
2025,9762,13.776043634359727,OTHERS,OT
2026,10577,13.83058545138925,OTHERS,OT
2024,17071,10.770509002297027,PEPSICO,OT
2025,18352,10.700584326564243,PEPSICO,OT
2026,19730,10.631113618260047,PEPSICO,OT
2024,4120,9.189865921627112,SEÑORIAL,OT
2025,4018,9.730295306870495,SEÑORIAL,OT
2026,3918,10.302505778249987,SEÑORIAL,OT
2024,9914,5.182799505020457,BIMBO,TRADITIONAL
2025,13701,5.6668489824927795,BIMBO,TRADITIONAL
2026,18934,6.196106440018019,BIMBO,TRADITIONAL
2024,26522,1.3899832392951228,DIANA,TRADITIONAL
2025,27201,1.563266873356139,DIANA,TRADITIONAL
2026,27898,1.7581530828903817,DIANA,TRADITIONAL
2024,21489,1.7232703602576829,DINANT,TRADITIONAL
2025,24269,1.8159268870208924,DINANT,TRADITIONAL
2026,27410,1.9135653551844862,DINANT,TRADITIONAL
2024,2277,6.801891534414844,KELLOGGS,TRADITIONAL
2025,2559,6.770080684427281,KELLOGGS,TRADITIONAL
2026,2875,6.73841860631763,KELLOGGS,TRADITIONAL
2024,9321,1.4315261486865156,OTHERS,TRADITIONAL
2025,9758,1.6065335811714587,OTHERS,TRADITIONAL
2026,10216,1.8029360831443566,OTHERS,TRADITIONAL
2024,101845,2.2915903266300597,PEPSICO,TRADITIONAL
2025,109499,2.4331340821921685,PEPSICO,TRADITIONAL
2026,117728,2.5834205150582483,PEPSICO,TRADITIONAL
2024,23537,1.0666023442646964,SEÑORIAL,TRADITIONAL
2025,24328,1.0821316212375391,SEÑORIAL,TRADITIONAL
2026,25146,1.0978869978852943,SEÑORIAL,TRADITIONAL
