Manufacturer,Channel,Training Upto,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,Overall WAPE
BIMBO,OT,April 2022,8.38,16.27,36.05,20.17,17.29,14.84,17.32,32.51,27.4,9.13,26.74,21.55
BIMBO,TRADITIONAL,April 2022,13.05,9.1,14.73,21.13,29.68,35.68,26.31,31.68,21.81,20.82,24.65,23.63
DIANA,OT,April 2022,10.61,5.06,0.04,3.26,13.93,0.54,2.77,15.31,4.4,2.32,2.94,5.87
DIANA,TRADITIONAL,April 2022,1.8,0.8,2.05,5.83,2.0,3.29,2.59,3.52,5.72,3.07,4.53,3.21
DINANT,OT,April 2022,23.22,22.93,25.52,19.01,22.4,21.73,33.31,35.87,29.27,39.02,44.31,29.24
DINANT,TRADITIONAL,April 2022,0.06,4.54,6.51,0.97,8.73,5.25,5.65,8.99,12.84,15.57,17.43,8.32
KELLOGGS,OT,April 2022,4.08,3.8,3.65,9.32,17.74,20.29,10.01,2.51,9.5,7.02,8.44,8.25
KELLOGGS,TRADITIONAL,April 2022,7.09,31.6,38.28,17.06,18.45,17.08,47.48,33.48,8.87,16.64,24.0,22.48
OTHERS,OT,April 2022,3.83,1.09,4.67,4.26,1.61,1.58,3.55,9.81,12.41,14.99,9.0,6.46
OTHERS,TRADITIONAL,April 2022,13.65,11.99,22.81,8.32,1.9,8.18,20.36,5.84,13.83,6.14,0.03,9.8
PEPSICO,OT,April 2022,10.98,4.25,7.92,4.34,5.98,13.7,7.25,17.93,10.46,19.2,13.14,10.92
PEPSICO,TRADITIONAL,April 2022,1.35,3.91,3.8,12.35,14.1,13.16,5.75,14.63,7.42,6.34,6.82,8.35
SEÑORIAL,OT,April 2022,5.0,2.21,0.87,0.56,24.27,37.78,24.5,28.62,19.67,39.37,40.05,22.28
SEÑORIAL,TRADITIONAL,April 2022,7.32,12.24,7.82,16.75,24.19,24.29,19.17,25.84,22.48,32.26,25.89,20.19
BIMBO,OT,May 2022,,19.47,37.79,22.19,20.31,18.14,19.52,35.93,27.57,9.01,28.05,24.58
BIMBO,TRADITIONAL,May 2022,,7.11,15.0,20.28,29.28,34.82,27.93,33.43,18.06,13.81,21.2,23.03
DIANA,OT,May 2022,,2.14,4.89,1.89,7.28,3.71,1.03,18.84,7.11,2.71,0.02,5.64
DIANA,TRADITIONAL,May 2022,,7.01,11.93,16.23,10.48,9.49,11.98,13.92,19.79,18.62,20.01,13.94
DINANT,OT,May 2022,,1.45,0.7,2.98,6.13,1.03,8.92,17.55,7.11,11.54,11.87,7.33
DINANT,TRADITIONAL,May 2022,,5.17,6.66,1.65,8.53,4.63,5.03,8.37,12.23,14.97,16.84,8.78
KELLOGGS,OT,May 2022,,28.12,20.88,37.32,41.53,57.16,26.1,22.39,25.76,17.18,20.69,28.75
KELLOGGS,TRADITIONAL,May 2022,,27.32,33.87,10.92,12.12,10.17,37.92,24.8,16.17,5.93,12.14,18.44
OTHERS,OT,May 2022,,1.54,1.87,1.08,2.41,3.48,9.48,4.27,7.41,9.32,4.36,4.58
OTHERS,TRADITIONAL,May 2022,,16.87,36.93,32.87,28.04,51.43,81.31,68.95,95.6,95.69,90.06,60.94
PEPSICO,OT,May 2022,,5.51,10.11,6.83,8.72,15.51,10.18,20.22,14.18,22.46,16.97,13.61
PEPSICO,TRADITIONAL,May 2022,,4.51,4.44,12.09,14.71,13.66,6.44,15.23,8.28,7.26,7.7,9.57
SEÑORIAL,OT,May 2022,,7.93,3.08,7.37,27.43,45.46,26.95,31.74,21.79,41.6,43.18,27.23
SEÑORIAL,TRADITIONAL,May 2022,,9.79,5.69,10.76,18.12,18.76,14.31,19.98,12.83,19.12,13.69,14.48
BIMBO,OT,June 2022,,,37.04,20.09,14.61,14.71,13.69,29.95,24.13,6.41,25.34,21.52
BIMBO,TRADITIONAL,June 2022,,,9.16,16.32,25.41,31.3,21.04,25.44,16.38,16.3,20.59,20.73
DIANA,OT,June 2022,,,0.36,4.75,11.95,4.31,13.2,15.7,0.98,10.07,13.67,8.42
DIANA,TRADITIONAL,June 2022,,,7.73,9.09,1.52,0.64,0.5,0.39,8.93,8.07,6.74,4.73
DINANT,OT,June 2022,,,7.66,4.02,0.39,7.47,1.75,11.55,1.11,2.48,1.33,4.3
DINANT,TRADITIONAL,June 2022,,,12.2,5.15,4.21,1.27,0.31,1.92,10.26,11.54,12.22,6.71
KELLOGGS,OT,June 2022,,,9.28,3.4,15.69,7.99,8.34,6.03,0.83,6.06,4.91,6.63
KELLOGGS,TRADITIONAL,June 2022,,,28.75,5.33,8.59,2.22,32.35,13.49,11.38,11.61,17.78,14.0
OTHERS,OT,June 2022,,,8.49,7.83,6.45,0.73,5.11,6.24,15.08,23.38,15.74,10.09
OTHERS,TRADITIONAL,June 2022,,,21.44,14.23,7.34,21.57,44.34,30.43,49.15,46.42,38.95,30.64
PEPSICO,OT,June 2022,,,10.47,7.62,10.75,16.94,9.78,18.28,13.05,23.36,16.13,14.28
