combination,model,features
OT_BIMBO,ConstrainedRegression,"['BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP']"
TRADITIONAL_BIMBO,ConstrainedRegression,"['BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP', 'monthly_index', 'quarterly_index']"
OT_DIANA,ConstrainedRegression,"['DIANA PPU', 'BIMBO PPU', 'DINANT PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'DIANA TDP', 'BIMBO TDP', 'DINANT TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP', 'monthly_index', 'quarterly_index']"
TRADITIONAL_DIANA,ConstrainedRegression,"['DIANA PPU', 'BIMBO PPU', 'DINANT PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'DIANA TDP', 'BIMBO TDP', 'DINANT TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP', 'monthly_index']"
OT_DINANT,ConstrainedRegression,"['DINANT PPU', 'BIMBO PPU', 'DIANA PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'DINANT TDP', 'BIMBO TDP', 'DIANA TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP', 'quarterly_index']"
TRADITIONAL_DINANT,ConstrainedRegression,"['DINANT PPU', 'BIMBO PPU', 'DIANA PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'DINANT TDP', 'BIMBO TDP', 'DIANA TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP', 'quarterly_index']"
OT_KELLOGGS,ConstrainedRegression,"['KELLOGGS PPU', 'BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'KELLOGGS TDP', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'OTHERS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP', 'quarterly_index']"
TRADITIONAL_KELLOGGS,ConstrainedRegression,"['KELLOGGS PPU', 'BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'KELLOGGS TDP', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'OTHERS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP', 'quarterly_index']"
OT_OTHERS,ConstrainedRegression,"['OTHERS PPU', 'BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'KELLOGGS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'OTHERS TDP', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'KELLOGGS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP', 'quarterly_index']"
TRADITIONAL_OTHERS,ConstrainedRegression,"['OTHERS PPU', 'BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'KELLOGGS PPU', 'PEPSICO PPU', 'SEÑORIAL PPU', 'OTHERS TDP', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'KELLOGGS TDP', 'PEPSICO TDP', 'SEÑORIAL TDP', 'quarterly_index']"
OT_PEPSICO,ConstrainedRegression,"['PEPSICO PPU', 'BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'SEÑORIAL PPU', 'PEPSICO TDP', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'SEÑORIAL TDP', 'quarterly_index']"
TRADITIONAL_PEPSICO,ConstrainedRegression,"['PEPSICO PPU', 'BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'SEÑORIAL PPU', 'PEPSICO TDP', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'SEÑORIAL TDP', 'monthly_index', 'quarterly_index']"
OT_SEÑORIAL,ConstrainedRegression,"['SEÑORIAL PPU', 'BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL TDP', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'PEPSICO TDP', 'monthly_index', 'quarterly_index']"
TRADITIONAL_SEÑORIAL,ConstrainedRegression,"['SEÑORIAL PPU', 'BIMBO PPU', 'DIANA PPU', 'DINANT PPU', 'KELLOGGS PPU', 'OTHERS PPU', 'PEPSICO PPU', 'SEÑORIAL TDP', 'BIMBO TDP', 'DIANA TDP', 'DINANT TDP', 'KELLOGGS TDP', 'OTHERS TDP', 'PEPSICO TDP', 'quarterly_index']"
