Manufacturer,Channel,Training Upto,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,Overall MAE
BIMBO,OT,April 2022,0.22,0.8,2.04,1.01,0.79,0.34,0.66,0.84,0.91,0.38,0.89,0.81
BIMBO,TRADITIONAL,April 2022,0.39,0.21,0.49,0.53,0.79,1.18,0.9,0.94,0.6,0.52,0.7,0.66
DIANA,OT,April 2022,2.15,1.15,1.05,0.93,2.51,1.36,1.22,0.3,0.93,2.65,2.49,1.52
DIANA,TRADITIONAL,April 2022,0.02,0.32,0.52,2.19,1.84,1.51,0.59,1.65,2.07,1.89,2.08,1.34
DINANT,OT,April 2022,1.06,1.07,1.0,0.86,1.08,0.74,1.64,1.01,0.99,1.53,1.89,1.17
DINANT,TRADITIONAL,April 2022,0.16,0.71,0.72,0.89,0.44,0.71,0.06,0.46,0.59,0.78,1.0,0.59
KELLOGGS,OT,April 2022,0.94,0.78,1.23,1.33,2.04,2.95,1.72,1.88,2.22,2.71,2.41,1.84
KELLOGGS,TRADITIONAL,April 2022,0.11,0.37,0.39,0.28,0.38,0.33,0.51,0.51,0.02,0.31,0.36,0.32
OTHERS,OT,April 2022,0.05,0.38,0.48,0.23,0.35,1.58,1.76,1.54,0.37,0.06,1.03,0.71
OTHERS,TRADITIONAL,April 2022,0.71,0.71,1.08,0.85,0.61,1.05,1.24,0.98,1.08,0.82,0.5,0.87
PEPSICO,OT,April 2022,2.6,0.49,0.38,0.46,1.01,1.82,0.66,0.36,0.11,1.73,0.23,0.9
PEPSICO,TRADITIONAL,April 2022,0.16,0.63,1.37,2.51,0.77,0.63,0.27,0.82,0.07,1.49,1.16,0.9
SEÑORIAL,OT,April 2022,0.76,0.06,0.67,0.3,2.02,2.98,1.76,1.52,0.98,2.55,3.36,1.54
SEÑORIAL,TRADITIONAL,April 2022,0.74,1.25,0.84,1.18,1.69,1.78,1.76,1.85,2.02,3.21,2.39,1.7
BIMBO,OT,May 2022,,1.11,2.24,1.25,1.03,0.73,0.89,1.13,0.99,0.28,1.07,1.07
BIMBO,TRADITIONAL,May 2022,,0.19,0.56,0.61,0.91,1.29,1.14,1.23,0.68,0.52,0.83,0.8
DIANA,OT,May 2022,,0.23,0.03,0.16,1.31,0.35,0.6,0.66,0.28,1.62,1.78,0.7
DIANA,TRADITIONAL,May 2022,,1.3,1.7,3.14,3.19,2.81,2.04,3.42,3.0,2.82,2.99,2.64
DINANT,OT,May 2022,,0.1,0.3,0.12,0.24,0.28,0.33,0.15,0.11,0.13,0.02,0.18
DINANT,TRADITIONAL,May 2022,,0.61,0.54,0.58,0.06,0.31,0.38,0.08,1.18,1.53,1.71,0.7
KELLOGGS,OT,May 2022,,3.23,2.96,3.96,4.13,6.07,3.13,4.6,3.75,3.68,3.52,3.9
KELLOGGS,TRADITIONAL,May 2022,,0.3,0.32,0.17,0.25,0.19,0.36,0.33,0.2,0.08,0.13,0.23
OTHERS,OT,May 2022,,0.41,0.67,0.36,0.84,1.86,2.38,2.1,0.36,1.0,1.67,1.17
OTHERS,TRADITIONAL,May 2022,,0.85,1.59,1.85,1.98,2.91,3.64,3.7,4.56,4.86,4.69,3.06
