Manufacturer,Channel,Training Upto,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,Overall WAPE
BIMBO,OT,April 2022,20.64,21.43,7.43,5.7,6.22,11.05,15.49,23.66,17.07,16.93,23.93,15.28
BIMBO,TRADITIONAL,April 2022,1.49,11.84,15.85,21.84,20.88,27.08,18.75,9.38,10.42,11.0,14.29,15.12
DIANA,OT,April 2022,4.63,7.69,0.74,1.03,5.43,12.62,30.39,25.16,21.92,21.01,27.64,13.64
DIANA,TRADITIONAL,April 2022,7.56,12.31,12.2,11.25,17.25,14.29,11.08,11.18,19.2,21.89,19.81,14.38
DINANT,OT,April 2022,0.95,5.17,4.85,8.29,2.88,3.03,4.54,10.97,4.66,4.84,5.78,5.03
DINANT,TRADITIONAL,April 2022,6.65,9.82,8.4,8.04,9.0,24.32,29.69,32.58,18.25,15.25,10.95,15.38
KELLOGGS,OT,April 2022,4.62,6.21,5.51,11.67,15.05,34.03,44.57,37.15,22.53,29.62,36.09,21.67
KELLOGGS,TRADITIONAL,April 2022,2.04,15.56,6.52,6.25,6.67,30.23,27.5,20.0,0.0,4.08,6.25,10.87
OTHERS,OT,April 2022,2.24,6.71,4.01,1.86,6.04,11.41,15.65,6.78,7.65,4.83,0.26,6.06
OTHERS,TRADITIONAL,April 2022,15.3,20.88,16.25,16.13,5.88,14.88,14.04,21.3,16.89,8.57,3.02,13.63
PEPSICO,OT,April 2022,2.68,8.5,9.22,9.73,6.52,11.85,21.15,25.48,19.87,21.58,21.23,14.14
PEPSICO,TRADITIONAL,April 2022,1.64,5.67,8.49,9.91,11.49,2.78,3.03,1.97,12.28,13.06,12.84,7.64
SEÑORIAL,OT,April 2022,4.19,4.97,3.26,0.37,2.62,7.92,7.92,4.1,5.69,6.97,0.7,4.43
SEÑORIAL,TRADITIONAL,April 2022,2.01,3.22,0.82,1.33,3.0,0.31,3.59,2.78,0.95,4.62,5.5,2.57
BIMBO,OT,May 2022,,1.43,10.61,11.92,11.92,7.71,4.23,1.69,3.47,4.43,2.02,6.02
