Manufacturer,Channel,Training Upto,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,Overall WAPE
BIMBO,OT,April 2022,1.52,4.21,10.93,1.58,4.95,2.86,5.34,12.84,1.94,30.9,2.05,6.9
BIMBO,TRADITIONAL,April 2022,3.89,4.94,0.02,3.93,16.04,20.24,10.56,20.04,7.19,4.27,5.24,9.37
DIANA,OT,April 2022,11.72,10.03,1.12,1.4,18.99,1.07,5.83,14.89,1.72,6.69,11.67,7.83
DIANA,TRADITIONAL,April 2022,6.2,7.6,6.05,0.07,7.95,8.26,9.82,12.64,3.78,6.45,6.88,6.95
DINANT,OT,April 2022,20.77,17.45,17.6,5.29,10.46,17.36,27.41,28.9,22.83,37.21,40.34,22.88
DINANT,TRADITIONAL,April 2022,0.68,5.09,8.71,9.94,2.7,13.11,13.66,11.77,5.3,0.24,1.93,6.42
KELLOGGS,OT,April 2022,6.86,2.94,2.23,3.0,13.6,21.16,17.69,6.05,16.35,17.38,21.83,11.23
KELLOGGS,TRADITIONAL,April 2022,4.36,25.16,32.37,9.18,7.48,7.55,32.44,17.08,12.27,1.74,14.14,14.16
OTHERS,OT,April 2022,3.01,1.2,1.65,5.18,0.91,3.42,9.59,10.65,17.57,23.13,18.63,9.36
OTHERS,TRADITIONAL,April 2022,28.72,32.47,48.62,29.87,19.8,38.43,52.38,38.3,46.29,34.46,32.63,36.12
PEPSICO,OT,April 2022,13.77,4.22,7.93,4.97,14.55,23.08,17.98,22.52,17.26,26.23,18.76,16.3
PEPSICO,TRADITIONAL,April 2022,1.39,1.62,1.19,4.83,5.82,2.79,6.8,1.76,10.9,11.44,13.98,5.53
SEÑORIAL,OT,April 2022,5.22,0.47,0.62,2.88,3.32,27.6,19.72,28.72,12.36,32.28,27.54,16.28
SEÑORIAL,TRADITIONAL,April 2022,6.88,12.54,10.05,17.66,24.9,25.34,19.72,27.34,23.22,32.45,24.96,20.78
BIMBO,OT,May 2022,,4.95,11.04,1.24,2.35,2.26,5.06,13.18,4.09,34.24,2.54,7.67
BIMBO,TRADITIONAL,May 2022,,3.7,2.98,6.25,18.21,21.96,15.26,25.11,6.61,0.13,5.01,11.24
DIANA,OT,May 2022,,2.0,4.67,2.77,16.53,0.19,4.35,15.13,2.83,0.22,5.47,5.84
DIANA,TRADITIONAL,May 2022,,5.71,9.17,17.43,11.76,11.85,12.56,11.83,18.12,17.63,17.6,13.27
DINANT,OT,May 2022,,5.99,8.73,10.65,5.68,2.02,3.22,10.73,1.01,11.05,7.78,6.69
DINANT,TRADITIONAL,May 2022,,4.86,8.86,9.75,2.92,12.9,13.45,11.6,5.16,0.11,2.06,6.93
KELLOGGS,OT,May 2022,,23.69,16.11,25.95,33.04,54.2,31.38,29.64,30.16,25.16,32.08,29.6
KELLOGGS,TRADITIONAL,May 2022,,23.09,30.29,5.19,3.38,2.91,25.94,11.15,17.88,9.24,4.91,12.91
OTHERS,OT,May 2022,,2.33,0.53,3.9,2.14,5.0,11.41,9.82,16.42,21.95,17.17,9.65
OTHERS,TRADITIONAL,May 2022,,14.46,26.71,12.37,2.14,17.43,29.32,16.79,24.17,14.95,8.76,16.33
PEPSICO,OT,May 2022,,2.75,7.67,4.88,14.72,22.6,18.42,22.58,18.46,27.27,20.11,16.75
PEPSICO,TRADITIONAL,May 2022,,2.23,0.52,4.56,6.49,3.35,6.02,1.04,9.87,10.35,12.91,5.59
SEÑORIAL,OT,May 2022,,5.4,4.51,5.23,7.35,36.52,22.32,31.84,14.67,34.77,31.32,20.84
SEÑORIAL,TRADITIONAL,May 2022,,10.1,7.97,12.6,18.89,19.89,14.89,21.6,13.67,20.13,12.6,15.39
BIMBO,OT,June 2022,,,14.9,3.74,5.14,4.35,6.94,11.61,4.03,31.53,0.11,8.77
BIMBO,TRADITIONAL,June 2022,,,7.15,10.61,22.39,25.63,16.82,25.97,15.28,12.03,14.01,17.17
